,Id,ActivityHour,Calories,Steps,TotalIntensity,AverageIntensity
0,1503960366,4/12/2016 12:00:00 AM,81,373,20,0.333333
1,1503960366,4/12/2016 1:00:00 AM,61,160,8,0.133333
2,1503960366,4/12/2016 2:00:00 AM,59,151,7,0.116667
3,1503960366,4/12/2016 3:00:00 AM,47,0,0,0.0
4,1503960366,4/12/2016 4:00:00 AM,48,0,0,0.0
5,1503960366,4/12/2016 5:00:00 AM,48,0,0,0.0
6,1503960366,4/12/2016 6:00:00 AM,48,0,0,0.0
7,1503960366,4/12/2016 7:00:00 AM,47,0,0,0.0
8,1503960366,4/12/2016 8:00:00 AM,68,250,13,0.216667
9,1503960366,4/12/2016 9:00:00 AM,141,1864,30,0.5
10,1503960366,4/12/2016 10:00:00 AM,99,676,29,0.483333
11,1503960366,4/12/2016 11:00:00 AM,76,360,12,0.2
12,1503960366,4/12/2016 12:00:00 PM,73,253,11,0.183333
13,1503960366,4/12/2016 1:00:00 PM,66,221,6,0.1
14,1503960366,4/12/2016 2:00:00 PM,110,1166,36,0.6
15,1503960366,4/12/2016 3:00:00 PM,151,2063,58,0.966667
16,1503960366,4/12/2016 4:00:00 PM,76,344,13,0.216667
17,1503960366,4/12/2016 5:00:00 PM,83,489,16,0.266667
18,1503960366,4/12/2016 6:00:00 PM,124,1386,29,0.483333
19,1503960366,4/12/2016 7:00:00 PM,104,558,39,0.65
20,1503960366,4/12/2016 8:00:00 PM,132,1733,41,0.683333
21,1503960366,4/12/2016 9:00:00 PM,100,684,31,0.516667
22,1503960366,4/12/2016 10:00:00 PM,65,89,9,0.15
23,1503960366,4/12/2016 11:00:00 PM,81,338,21,0.35
24,1503960366,4/13/2016 12:00:00 AM,69,144,14,0.233333
25,1503960366,4/13/2016 1:00:00 AM,48,0,0,0.0
26,1503960366,4/13/2016 2:00:00 AM,47,0,0,0.0
27,1503960366,4/13/2016 3:00:00 AM,53,36,4,0.066667
28,1503960366,4/13/2016 4:00:00 AM,47,0,0,0.0
